ticker,date,forward_return,z_sentiment,mkt_rf,rf,smb_3,hml_3,smb_5,hml_5,rmw,cma,mom
ADBE,2012-01-26,0.06703015176818194,-0.4726333738825294,-0.6,0.0,0.23,-0.45,0.22,-0.45,0.25,-0.03,0.24
ADBE,2012-01-27,0.07149762561196416,-0.4726333738825294,0.01,0.0,0.8,-0.13,0.81,-0.13,-0.32,-0.17,-0.58
ADBE,2012-02-15,0.04189774025601012,-0.4726333738825294,-0.5,0.0,-0.29,0.1,-0.27,0.1,-0.11,0.04,-0.44
ADBE,2012-02-16,0.050212954368048957,-0.4726333738825294,1.27,0.0,0.68,0.34,0.68,0.34,-0.3,-0.16,-0.95
ADBE,2012-02-21,0.03134604883421965,-0.4726333738825294,-0.05,0.0,-0.66,0.28,-0.61,0.28,0.18,-0.32,0.13
ADBE,2012-02-23,0.02547771069114857,-0.4726333738825294,0.56,0.0,0.94,-0.02,0.92,-0.02,-0.44,0.21,-0.16
ADBE,2012-03-13,-0.019579250723031127,-0.4726333738825294,1.86,0.0,0.07,0.96,0.16,0.96,-0.71,-0.07,-1.21
ADBE,2012-03-19,-0.032454331682361115,-0.4726333738825294,0.41,0.0,0.52,-0.04,0.51,-0.04,-0.14,-0.34,0.12
ADBE,2012-03-22,-0.03233462421213651,-0.4726333738825294,-0.74,0.0,-0.12,-0.46,-0.13,-0.46,0.58,-0.03,1.23
ADBE,2012-03-29,-0.02697216698151561,-0.4726333738825294,-0.17,0.0,-0.01,-0.26,-0.05,-0.26,0.17,0.12,0.11
ADBE,2012-04-09,-0.016556382647422763,-0.4726333738825294,-1.21,0.0,-0.45,-0.09,-0.44,-0.09,0.53,0.16,0.72
ADBE,2012-04-17,-0.04373521086178678,-0.4726333738825294,1.55,0.0,0.06,-0.22,0.04,-0.22,-0.13,-0.35,-0.42
ADBE,2012-04-26,-0.049909742147784764,-0.4726333738825294,0.75,0.0,-0.02,-0.03,-0.03,-0.03,-0.24,-0.21,0.04
ADBE,2012-04-27,-0.045562909784573,-0.4726333738825294,0.35,0.0,0.71,-0.27,0.7,-0.27,0.14,-0.18,0.34
ADBE,2012-05-04,-0.058264381794454145,-0.4726333738825294,-1.62,0.0,-0.25,0.18,-0.24,0.18,0.15,0.16,0.25
ADBE,2012-05-07,-0.025522752522222247,-0.4726333738825294,0.05,0.0,0.15,0.44,0.15,0.44,-0.37,0.29,-0.01
ADBE,2012-05-11,-0.01335404642818172,-0.4726333738825294,-0.29,0.0,0.26,-1.05,0.12,-1.05,0.02,-0.04,0.56
ADBE,2012-05-23,-0.01895589200020764,-0.4726333738825294,0.26,0.0,0.49,-0.24,0.5,-0.24,-0.02,-0.11,-0.4
ADBE,2012-05-31,0.04251206851073608,-0.4726333738825294,-0.23,0.0,0.15,0.54,0.2,0.54,-0.16,0.24,0.17
ADBE,2012-06-19,-0.030404378794690157,-0.46080173684067793,1.09,0.0,0.68,0.28,0.69,0.28,-0.42,-0.33,-1.11
ADBE,2012-06-20,-0.019068478109283915,-0.46080173684067793,-0.14,0.0,-0.11,0.16,-0.08,0.16,0.03,-0.05,-0.43
ADBE,2012-06-27,0.015600120136852968,-0.4632872318163762,0.93,0.0,0.4,0.43,0.42,0.43,-0.53,-0.01,-0.92
ADBE,2012-07-09,0.06375282968298279,-0.4632872318163762,-0.23,0.0,-0.23,-0.23,-0.23,-0.23,0.24,-0.02,1.07
ADBE,2012-07-17,0.07373573432332092,-0.4632872318163762,0.67,0.0,-0.57,0.27,-0.54,0.27,-0.11,0.17,-0.16
ADBE,2012-07-26,0.04232625286918834,-0.4632872318163762,1.54,0.0,-0.9,0.34,-0.81,0.34,0.08,0.25,-0.64
ADBE,2012-08-01,0.025089558065029882,-0.4632872318163762,-0.51,0.0,-1.57,0.36,-1.55,0.36,0.07,0.15,-0.01
ADBE,2012-08-06,0.0037336320523830846,-0.4632872318163762,0.34,0.0,0.6,0.01,0.57,0.01,-0.35,-0.16,-0.87
ADBE,2012-08-08,-0.0015379649228536296,-0.4632872318163762,0.09,0.0,-0.24,0.63,-0.18,0.63,0.19,0.42,-0.15
ADBE,2012-08-09,-0.01592650638473969,-0.4632872318163762,0.12,0.0,0.35,0.05,0.33,0.05,-0.17,-0.39,-0.79
ADBE,2012-08-22,-0.00029545867281677296,-0.4632872318163762,0.0,0.0,-0.43,-0.34,-0.5,-0.34,-0.26,-0.32,0.38
ADBE,2012-08-29,0.015018759574042972,-0.4632872318163762,0.15,0.0,0.26,0.08,0.27,0.08,-0.21,0.11,0.06
ADBE,2012-09-19,0.010567702297882953,-0.4636863095079062,0.18,0.0,-0.15,0.04,-0.16,0.04,-0.13,0.28,0.42
ADBE,2012-09-27,0.036890216848099344,-0.4652098667556992,0.99,0.0,0.23,-0.13,0.21,-0.13,-0.14,-0.32,0.37
ADBE,2012-10-16,-0.01774970285185329,-0.4652098667556992,1.0,0.0,-0.23,-0.21,-0.27,-0.21,0.19,-0.58,-0.27
ADBE,2012-10-25,0.014371243122980548,-0.4652098667556992,0.27,0.0,0.21,0.03,0.25,0.03,0.04,-0.09,-0.61
ADBE,2012-10-31,0.01704383931413922,-0.4652098667556992,0.13,0.0,0.48,0.37,0.56,0.37,0.08,0.13,-0.2
ADBE,2012-11-02,0.026461176608395753,-0.4652098667556992,-1.04,0.0,-0.57,0.27,-0.5,0.27,0.28,0.49,0.04
ADBE,2012-11-08,0.08399031219561515,-0.4652098667556992,-1.24,0.0,-0.25,0.43,-0.23,0.43,-0.29,0.4,0.09
ADBE,2012-11-19,0.15704745659796648,-0.4652098667556992,1.98,0.0,0.22,-0.05,0.23,-0.05,0.44,-0.17,0.23
ADBE,2012-12-03,0.08789622968302724,-0.4652098667556992,-0.46,0.0,0.29,0.26,0.29,0.26,-0.01,0.06,0.09
ADBE,2012-12-13,0.07374058082176727,-0.4654875336889359,-0.57,0.0,0.09,0.08,0.1,0.08,0.12,0.16,-0.21
ADBE,2012-12-20,0.010034356451890325,-0.4654875336889359,0.53,0.0,-0.24,0.74,-0.15,0.74,-0.44,0.2,0.19
ADBE,2013-01-07,0.012124483811817743,-0.4654875336889359,-0.31,0.0,-0.09,-0.35,-0.12,-0.35,-0.15,-0.17,0.19
ADBE,2013-01-17,0.03339523327637406,-0.4654875336889359,0.61,0.0,0.4,-0.11,0.38,-0.11,0.18,0.0,-0.19
ADBE,2013-01-22,0.010276663552251986,-0.46746996471243685,0.49,0.0,0.15,0.45,0.21,0.45,-0.21,0.12,-0.22
ADBE,2013-01-25,0.007045941020718205,-0.46746996471243685,0.58,0.0,-0.14,-0.31,-0.14,-0.31,-0.19,-0.14,-0.17
ADBE,2013-02-13,0.06622003617327588,-0.46746996471243685,0.14,0.0,0.1,0.03,0.07,0.03,-0.04,-0.02,0.15
ADBE,2013-02-14,0.06345508221210938,-0.46746996471243685,0.11,0.0,0.29,0.14,0.27,0.14,-0.32,-0.19,-0.06
ADBE,2013-02-19,0.08899710840285113,-0.46746996471243685,0.74,0.0,0.24,0.17,0.27,0.17,-0.06,0.34,-0.04
ADBE,2013-03-12,0.09202892314417288,-0.46746996471243685,-0.22,0.0,0.04,-0.17,0.02,-0.17,0.25,0.07,-0.2
ADBE,2013-03-19,0.09104292231834732,-0.46546387196644057,-0.23,0.0,-0.01,0.01,-0.04,0.01,0.08,0.39,0.29
ADBE,2013-03-21,0.055713571766682346,-0.46546387196644057,-0.85,0.0,0.18,-0.27,0.14,-0.27,-0.02,0.08,0.08
ADBE,2013-03-28,0.03538605007649109,-0.4664412206547159,0.39,0.0,-0.27,-0.29,-0.31,-0.29,-0.24,0.06,0.49
ADBE,2013-04-08,0.04133358120008501,-0.4664412206547159,0.7,0.0,0.14,0.27,0.11,0.27,-0.34,0.13,0.26
ADBE,2013-04-16,-0.004637789093065781,-0.4664412206547159,1.47,0.0,0.17,0.09,0.15,0.09,-0.35,-0.07,0.77
ADBE,2013-04-24,-0.042534089748463955,-0.4664412206547159,0.06,0.0,0.34,1.16,0.48,1.16,-0.08,-0.18,-0.88
ADBE,2013-04-29,-0.05459393750991026,-0.4664412206547159,0.67,0.0,0.09,-0.1,0.07,-0.1,0.23,-0.34,-0.59
ADBE,2013-05-02,-0.048807170261824795,-0.4664412206547159,1.04,0.0,0.61,0.1,0.55,0.1,-0.52,-0.25,0.39
ADBE,2013-05-09,0.002729109132438845,-0.4664412206547159,-0.31,0.0,0.1,-0.25,0.05,-0.25,-0.01,-0.22,0.03
ADBE,2013-05-22,0.03706282966602803,-0.4664412206547159,-0.92,0.0,-0.72,-0.14,-0.7,-0.14,0.28,0.34,0.08
ADBE,2013-06-03,0.05913483085512583,-0.4664412206547159,0.49,0.0,0.13,0.1,0.14,0.1,0.27,-0.05,-0.37
ADBE,2013-06-11,0.11294069729164447,-0.4664412206547159,-1.04,0.0,0.02,-0.58,-0.01,-0.58,0.45,0.01,-0.3
ADBE,2013-06-18,0.11139294161366609,-0.4657305378187925,0.8,0.0,0.38,-0.05,0.37,-0.05,-0.03,0.03,0.12
ADBE,2013-06-19,0.05002186493204874,-0.4657305378187925,-1.28,0.0,0.15,0.15,0.19,0.15,-0.1,-0.3,0.1
ADBE,2013-06-27,0.026997558361213425,-0.4726333738825294,0.77,0.0,0.81,0.37,0.83,0.37,-0.46,0.28,0.49
ADBE,2013-07-08,0.016298483897159377,-0.4726333738825294,0.53,0.0,-0.18,0.05,-0.14,0.05,0.18,0.07,0.21
ADBE,2013-07-17,-0.045170731521389174,-0.4726333738825294,0.3,0.0,-0.02,0.19,-0.03,0.19,-0.44,0.03,0.33
